figure_id,xaxis,x,lci,uci,pred
GT8,GT6,4.4e-10,1.3075583421260599e-12,7.00540411539735e-12,3.0886893608440497e-12
GT8,GT6,6.03670625606497e-10,1.7051635446310598e-12,8.59718423311172e-12,3.91786874138069e-12
GT8,GT6,8.282232368639501e-10,2.21388172708565e-12,1.0611246008194699e-11,4.96964688947979e-12
GT8,GT6,1.13630463531704e-09,2.90048242641857e-12,1.3073295929498898e-11,6.30378193767991e-12
GT8,GT6,1.558985750185e-09,3.7800067804858e-12,1.6115771877382398e-11,7.99607449010906e-12
GT8,GT6,2.1388952343768e-09,4.89030216553553e-12,1.98381649926689e-11,1.014267433161e-11
GT8,GT6,2.9345186914613503e-09,6.3469148143493796e-12,2.44595194131922e-11,1.2865543301823099e-11
GT8,GT6,4.02609712347371e-09,8.22214726529659e-12,3.06226171562942e-11,1.63193847144662e-11
GT8,GT6,5.5237194756361e-09,1.0771572378500599e-11,3.78730193325289e-11,2.0700433025709198e-11
GT8,GT6,7.57842543530008e-09,1.40019257873739e-11,4.67324228276323e-11,2.6257603147993098e-11
GT8,GT6,1.0397438235545e-08,1.8236839471034097e-11,5.78493558408252e-11,3.3306632871940596e-11
GT8,GT6,1.42650637371735e-08,2.3820147494839e-11,7.125893992997759e-11,4.2248021916312094e-11
GT8,GT6,1.95713635239456e-08,3.11634842456099e-11,8.78419751457038e-11,5.3589786836269594e-11
GT8,GT6,2.68514937783463e-08,4.0653964323457395e-11,1.07675053340951e-10,6.797632463942569e-11
GT8,GT6,3.68396773810074e-08,5.3148827480605093e-11,1.32959122545505e-10,8.62250250332637e-11
GT8,GT6,5.05432524812141e-08,6.913669452093539e-11,1.62512313806824e-10,1.09372711476002e-10
GT8,GT6,6.93442655580037e-08,8.993923832300169e-11,2.03061889301194e-10,1.3873454963913201e-10
GT8,GT6,9.51388549355069e-08,1.17203541876765e-10,2.49788679734342e-10,1.7597877024193701e-10
GT8,GT6,1.30528481996371e-07,1.53031140409411e-10,3.09924883782778e-10,2.23221451732229e-10
GT8,GT6,1.79082296332308e-07,1.97823178009378e-10,3.8845909081153103e-10,2.83146748013641e-10
GT8,GT6,2.45697095140846e-07,2.56766889998e-10,4.8646501371681e-10,3.59159392112872e-10
GT8,GT6,3.37091179848575e-07,3.32762988607052e-10,6.058853965673391e-10,4.55578140479554e-10
GT8,GT6,4.62481916876412e-07,4.30206940842258e-10,7.62172202346206e-10,5.77881148706205e-10
GT8,GT6,6.34515336573807e-07,5.52088058691595e-10,9.55941313498301e-10,7.33017220006391e-10
GT8,GT6,8.70541523150968e-07,7.074159974275711e-10,1.20615218025686e-09,9.29800610434977e-10
GT8,GT6,1.19436442249313e-06,8.98165031681812e-10,1.5201732786053202e-09,1.17941182221848e-09
GT8,GT6,1.63864254120129e-06,1.14043814495587e-09,1.92602395319005e-09,1.4960328384146402e-09
GT8,GT6,2.24818265452819e-06,1.4421013261984e-09,2.4619236938450703e-09,1.89765289057818e-09
GT8,GT6,3.08445870349251e-06,1.81606146037633e-09,3.1538678093760704e-09,2.4070905401620903e-09
GT8,GT6,4.23181162544256e-06,2.2997436594837503e-09,4.0300087342541305e-09,3.0532901445282e-09
GT8,GT6,5.80595538949943e-06,2.8960782910976304e-09,5.1692904920219e-09,3.87296636795609e-09
GT8,GT6,7.9656470959603e-06,3.5930132989015604e-09,6.613683505770621e-09,4.91269017266515e-09
GT8,GT6,1.0928698104043e-05,4.46422189801749e-09,8.55596675606945e-09,6.23153480812109e-09
GT8,GT6,1.49939409580276e-05,5.566152654896561e-09,1.10994149758666e-08,7.90443213392352e-09
GT8,GT6,2.05713675419078e-05,6.9753793301137e-09,1.44262323795959e-08,1.00264299700898e-08
GT8,GT6,2.8223477985465e-05,8.74605044233449e-09,1.85817946660975e-08,1.27180923615843e-08
GT8,GT6,3.87220104824474e-05,1.08853392735813e-08,2.42044284735267e-08,1.61323495800909e-08
GT8,GT6,5.31257733924553e-05,1.35631116315794e-08,3.14377047885133e-08,2.04631870547165e-08
GT8,GT6,7.28874292264827e-05,1.67811279288389e-08,4.08681745825308e-08,2.59566669044346e-08
GT8,GT6,0.0001,2.07737980348739e-08,5.38686346893917e-08,3.29249082748565e-08
GT8,GT6v2,3.9e-11,1.01068822815614e-12,6.45509859212152e-12,2.5214835601634897e-12
GT8,GT6v2,5.6937223300615896e-11,1.35515003674784e-12,8.09841497114499e-12,3.25670286360533e-12
GT8,GT6v2,8.31242922354926e-11,1.80109267366905e-12,1.0126309975475798e-11,4.2062989064768995e-12
GT8,GT6v2,1.21355548428664e-10,2.4251211035291797e-12,1.2669202271793799e-11,5.43278009435647e-12
GT8,GT6v2,1.7717046050388602e-10,3.2216633195509398e-12,1.5794958445820698e-11,7.0168811608201094e-12
GT8,GT6v2,2.58656258255967e-10,4.32097567154153e-12,1.9623824584210098e-11,9.06287763721903e-12
GT8,GT6v2,3.77619721395432e-10,5.80021431452538e-12,2.4377303220162897e-11,1.1705449926360898e-11
GT8,GT6v2,5.51297907687386e-10,7.77161805720889e-12,3.02855865162377e-11,1.5118548816751698e-11
GT8,GT6v2,8.048556942348501e-10,1.0375655097677799e-11,3.76120328553462e-11,1.95268460215064e-11
GT8,GT6v2,1.1750320099338902e-09,1.384996724658e-11,4.6746393198762194e-11,2.5220523488678498e-11
GT8,GT6v2,1.71546307525584e-09,1.84302347914002e-11,5.8116294321475695e-11,3.2574375008766294e-11
GT8,GT6v2,2.5044539533282902e-09,2.46864074120764e-11,7.2361265371581e-11,4.207247750777549e-11
GT8,GT6v2,3.6563244611990505e-09,3.30580135281753e-11,9.133662381506309e-11,5.4340056046075895e-11
GT8,GT6v2,5.33797339248193e-09,4.4210939499998e-11,1.14940142100294e-10,7.018464007842069e-11
GT8,GT6v2,7.79306110308948e-09,5.8669274340194e-11,1.44133284069771e-10,9.06492201399412e-11
GT8,GT6v2,1.13773143646654e-08,7.72911208048216e-11,1.81531656968558e-10,1.1708090406673e-10
GT8,GT6v2,1.6610068936981e-08,1.02992232799815e-10,2.27655396846266e-10,1.5121959213682e-10
GT8,GT6v2,2.42495180539363e-08,1.3541698391166101e-10,2.88250963592038e-10,1.9531250828908003e-10
GT8,GT6v2,3.54025698556228e-08,1.78437717001963e-10,3.64440560357513e-10,2.52262126587788e-10
GT8,GT6v2,5.16852314175704e-08,2.3323402409391e-10,4.62977966304911e-10,3.25817230386524e-10
GT8,GT6v2,7.54567580145186e-08,3.07981863172743e-10,5.80794342030913e-10,4.20819680911562e-10
GT8,GT6v2,1.10161494374697e-07,4.03941007891466e-10,7.4178779406749e-10,5.43523139130562e-10
GT8,GT6v2,1.60827938572863e-07,5.24959793830912e-10,9.39462372066378e-10,7.02004721191795e-10
GT8,GT6v2,2.34797339782074e-07,6.79405011685206e-10,1.1950802717436e-09,9.06696685193359e-10
GT8,GT6v2,3.42787399116988e-07,8.84827223109397e-10,1.5339093589360302e-09,1.17107314826166e-09
GT8,GT6v2,5.00445197132342e-07,1.14505148345058e-09,1.98062818013904e-09,1.5125370379919401e-09
GT8,GT6v2,7.30614357406281e-07,1.4653877356559902e-09,2.5842921030519902e-09,1.9535656629933e-09
GT8,GT6v2,1.06664494395583e-06,1.8712352992493e-09,3.3793718002835904e-09,2.5231903112225e-09
GT8,GT6v2,1.55722567580734e-06,2.3972218415533203e-09,4.4196434582579506e-09,3.2589072726084805e-09
GT8,GT6v2,2.27343861622808e-06,3.0345252312721905e-09,5.810369682977721e-09,4.2091460815394505e-09
GT8,GT6v2,3.31905851672876e-06,3.8412976759908e-09,7.71282494671924e-09,5.43645745451296e-09
GT8,GT6v2,4.84558912602042e-06,4.8326161273377404e-09,1.02784902161622e-08,7.021630773128261e-09
GT8,GT6v2,7.07421513054517e-06,6.105436706203181e-09,1.38924338663607e-08,9.069012151141441e-09
GT8,GT6v2,1.03278504247294e-05,7.6886608508535e-09,1.85109626777011e-08,1.17133731543262e-08
GT8,GT6v2,1.50779263037995e-05,9.6051524420435e-09,2.46587831034674e-08,1.51287823156375e-08
GT8,GT6v2,2.20126988940939e-05,1.19148501530405e-08,3.26566194778577e-08,1.95400634248053e-08
GT8,GT6v2,3.21369731380064e-05,1.49083758769945e-08,4.35581056452052e-08,2.52375948493066e-08
GT8,GT6v2,4.69176927119119e-05,1.88097337514904e-08,5.84962343122359e-08,3.25964240714378e-08
GT8,GT6v2,6.84964909407131e-05,2.35806348223067e-08,7.81267439010308e-08,4.2100955680973e-08
GT8,GT6v2,0.0001,2.94595029336631e-08,1.04201959063269e-07,5.43768379429196e-08
GT8,GT6v3,7.900000000000011e-09,6.36869777367953e-12,5.2188756962299094e-11,1.91951662269256e-11
GT8,GT6v3,1.00650547177121e-08,7.71089401502912e-12,5.7983640070306e-11,2.22575202797605e-11
GT8,GT6v3,1.28234590469037e-08,9.33595667810437e-12,6.47256097815961e-11,2.58084354752314e-11
GT8,GT6v3,1.63378249338515e-08,1.13034995586193e-11,7.29482701819789e-11,2.9925855769515595e-11
GT8,GT6v3,2.08153293579261e-08,1.3695919088300899e-11,8.139586921693009e-11,3.4700160123899296e-11
GT8,GT6v3,2.65199277157881e-08,1.66913073099017e-11,9.025200440520459e-11,4.02361463577869e-11
GT8,GT6v3,3.37879143758453e-08,2.03858690550506e-11,1.00087259292983e-10,4.66553315012001e-11
GT8,GT6v3,4.30477477202854e-08,2.4903086123573397e-11,1.1113870113699101e-10,5.4098619140389e-11
